Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DayOfWeek,Quarter,Returns,Log_Returns,MA_7,MA_30,MA_90,Volatility_30,Momentum_5,Momentum_10,RSI_14,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,HL_Spread,HL_PCT,Volume_MA_30,Volume_Ratio,Target,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Total Debt,Net Debt,Ordinary Shares Number,Total Assets
2018-12-24 00:00:00-05:00,35.250550449965445,36.05954268213559,34.87936735913485,34.93647384643555,148676800,0.0,0.0,2018,12,24,0,4,-0.0258740863036111,-0.0262147088525859,37.75638035365513,41.68852653503418,41.19506204393175,0.024042697913674586,-4.071109771728516,-5.417850494384766,11.321657090624186,-1.7060039014910586,-1.1342395100934066,40.23178825378418,44.910989356039025,35.55258715152934,1.1801753230007463,3.3780607859518015,181969186.66666666,0.8170438233169001,37.39675521850586,,,,,,,
2018-12-26 00:00:00-05:00,35.28624405192659,37.41103093294613,34.91030117218417,37.39675521850586,234330000,0.0,0.0,2018,12,26,2,4,0.07042157096003909,0.06805256243096224,37.47391401018415,41.31337725321452,41.15106858147515,0.028233459677059335,-2.117656707763672,-2.7267799377441406,30.98214427966849,-1.6692762301843374,-1.2412468541115929,40.024187088012695,44.82422805429384,35.22414612173155,2.5007297607619634,6.687023369141054,185198080.0,1.2652938950554995,37.154048919677734,,,,,,,
2018-12-27 00:00:00-05:00,37.08028865770419,37.30157307427368,35.70738784144105,37.154048919677734,212468400,0.0,0.0,2018,12,27,3,4,-0.006490036298871793,-0.006511188151648387,37.20912333897182,41.01183001200358,41.10927505493164,0.027094806720197328,-1.1278305053710938,-3.0813140869140625,31.566455343666718,-1.6408390844210956,-1.3211653001734935,39.80897197723389,44.72289170716919,34.89505224729859,1.5941852328326362,4.290744290828327,185462293.33333334,1.1456150799242426,37.173099517822266,,,,,,,
2018-12-28 00:00:00-05:00,37.47528217479797,37.71798025689304,36.77336491733658,37.173099517822266,169165600,0.0,0.0,2018,12,28,4,4,0.0005127462200880117,0.0005126148106627764,36.874650137765066,40.726304372151695,41.06818809509277,0.027121134009981836,-0.14276123046875,-3.5024490356445312,36.13762903809989,-1.5983405426244417,-1.3766003486636833,39.51499938964844,44.314012514843114,34.71598626445376,0.9446153395564636,2.541126114876639,184850093.33333334,0.9151502006274345,37.53237533569336,,,,,,,
2018-12-31 00:00:00-05:00,37.720344928030535,37.917834082129794,37.23257086122143,37.53237533569336,140014000,0.0,0.0,2018,12,31,0,4,0.009664941114174264,0.009618534343678986,36.767578125,40.49582112630208,41.02937388949924,0.02695730483498571,1.6679420471191406,-1.841644287109375,36.71004328559474,-1.5181690780518835,-1.4049140945413234,39.25552749633789,43.8825791477846,34.628475844891184,0.6852632209083609,1.8257923053878082,181410426.66666666,0.7718078975541428,37.57520294189453,,,,,,,
2019-01-02 00:00:00-05:00,36.854250431978905,37.79648737251912,36.697210336780685,37.57520294189453,148158800,0.0,0.0,2019,1,2,2,1,0.0011410843523256275,0.001140433810411169,36.804627009800505,40.23020261128743,40.991035546196834,0.02639218302018942,2.6387290954589844,-1.4323806762695312,37.7823378580547,-1.434639157700616,-1.410859107173182,39.00973701477051,43.43079906598571,34.588674963555306,1.0992770357384316,2.925538519215264,180151880.0,0.8224105127295924,33.832435607910156,,,,,,,
2019-01-03 00:00:00-05:00,34.25834341824749,34.67235722227103,33.78722676584075,33.832435607910156,365248800,0.0,0.0,2019,1,3,3,1,-0.09960737510246076,-0.10492436090098742,36.51434162684849,39.82301063537598,40.922675620185004,0.031211188527553953,-3.564319610595703,-5.681976318359375,27.229705952656474,-1.6514146580543567,-1.458970217349417,38.50257167816162,42.85159233698266,34.15355101934058,0.8851304564302822,2.616218550411828,187403066.66666666,1.94900119030425,35.276729583740234,,,,,,,
2019-01-04 00:00:00-05:00,34.38922077823549,35.34573372103441,34.215526843041836,35.276729583740234,234428400,0.0,0.0,2019,1,4,4,1,0.042689624612553656,0.04180355226285238,36.56294958932059,39.52479438781738,40.87028528849284,0.03209911816410537,-1.8773193359375,-3.0051498413085938,32.0803156306028,-1.6872191385153812,-1.50462000158261,38.16434288024902,42.40541657116417,33.92326918933388,1.1302068779925705,3.2038312262186173,189627306.66666666,1.2362586597935825,35.198204040527344,,,,,,,
2019-01-07 00:00:00-05:00,35.38141751200746,35.41235064672023,34.71518967715672,35.198204040527344,219111200,0.0,0.0,2019,1,7,0,1,-0.002225987049805367,-0.0022284682417295434,36.248870849609375,39.29439074198405,40.81577212015788,0.031167558731153972,-1.9748954772949219,-2.117656707763672,34.91497573117233,-1.7023076592637594,-1.54415753311884,37.84562473297119,41.96457239261608,33.7266770733263,0.6971609695635053,1.9806719932664505,187887653.33333334,1.1661820035150083,35.86919021606445,,,,,,,
2019-01-08 00:00:00-05:00,35.58604312532892,36.1237858793811,35.33858894951646,35.86919021606445,164101200,0.0,0.0,2019,1,8,1,1,0.01906307988795497,0.018883656041957502,36.06531960623605,39.08793932596843,40.773532994588216,0.03148126299769302,-1.6631851196289062,0.004756927490234375,38.90672795863601,-1.6412036696731889,-1.5635667604297099,37.634573745727536,41.701500603828585,33.56764688762649,0.7851969298646395,2.1890567507514556,189207800.0,0.867306738939938,36.47831726074219,,,,,,,
2019-01-09 00:00:00-05:00,35.99768091678345,36.76860225386726,35.602706129817406,36.47831726074219,180396400,0.0,0.0,2019,1,9,2,1,0.016981901208489747,0.016839320652895347,35.966064998081755,38.93740412394206,40.730169932047524,0.031476354163125275,-1.0968856811523438,1.5418434143066406,39.345376268082475,-1.526035666633085,-1.556060541670385,37.44077339172363,41.32740936221358,33.55413742123368,1.1658961240498513,3.1961346125595105,192071146.66666666,0.9392165514223341,36.59490203857422,,,,,,,
2019-01-10 00:00:00-05:00,36.28558160044058,36.63535110369678,35.895363032061816,36.59490203857422,143122800,0.0,0.0,2019,1,10,3,1,0.0031960020797752176,0.003190905720890215,35.832140241350444,38.77227490743001,40.68818045722114,0.03134109813245026,2.7624664306640625,-0.8018531799316406,43.57676304913591,-1.4091133951747992,-1.526671112371268,37.26434173583984,40.9535560615729,33.57512741010679,0.7399880716349614,2.0221069887137544,190842106.66666666,0.7499539933814746,36.2356071472168,,,,,,,
2019-01-11 00:00:00-05:00,36.375993445543166,36.57110088304182,36.0500156403027,36.2356071472168,108092800,0.0,0.0,2019,1,11,4,1,-0.009818167868811178,-0.009866683899171376,35.64076941353934,38.59818344116211,40.640115102132164,0.03135899406500415,0.9588775634765625,-0.9184417724609375,45.68764767547608,-1.3301110553636377,-1.487359100969742,37.064353942871094,40.50039699255271,33.62831089318948,0.5210852427391188,1.438047500134526,188926880.0,0.5721409256321811,35.69072341918945,,,,,,,
2019-01-14 00:00:00-05:00,35.892972304157446,35.9929058940534,35.505131947861514,35.69072341918945,129756800,0.0,0.0,2019,1,14,0,1,-0.015037245707339997,-0.015151451425826717,35.90623910086496,38.35278917948405,40.58086424933539,0.030367218365513447,0.4925193786621094,-1.4823760986328125,49.2524469446968,-1.2965231827574826,-1.4491919173272902,36.81511268615723,39.84771002543897,33.782515346875485,0.4877739461918864,1.3666687011718854,187110440.0,0.6934770716161001,36.42121887207031,,,,,,,
2019-01-15 00:00:00-05:00,35.75499087761721,36.497357243368974,35.70264415893979,36.42121887207031,114843600,0.0,0.0,2019,1,15,1,1,0.02046737591449599,0.020260734030143265,36.069737570626394,38.14276936848958,40.531423060099286,0.030738991557146673,0.5520286560058594,-1.1111564636230469,56.50000851711087,-1.1971595634458438,-1.398785446551001,36.6674726486206,39.45297146885393,33.881973828387274,0.7947130844291834,2.1820057346806996,185369226.66666666,0.6195397265508004,36.866153717041016,,,,,,,
2019-01-16 00:00:00-05:00,36.42358841863822,37.08981625707733,36.40455292260857,36.866153717041016,122278800,0.0,0.0,2019,1,16,2,1,0.012216363393370733,0.012142345833313289,36.30801609584263,37.95527407328288,40.486977598402234,0.03089579075019214,0.3878364562988281,-0.7090492248535156,47.17937819538932,-1.0701743519824163,-1.3330632276372842,36.560401153564456,39.122856233913275,33.99794607321564,0.6852633344687575,1.8587871675693721,184174320.0,0.6639296944329698,37.08505630493164,,,,,,,
2019-01-17 00:00:00-05:00,36.69007793309382,37.51334588700581,36.46641539408566,37.08505630493164,119284800,0.0,0.0,2019,1,17,3,1,0.005937765831791619,0.005920206773686981,36.48171125139509,37.72558453877767,40.4450685289171,0.030069743860892843,0.4901542663574219,3.2526206970214844,49.632311982246236,-0.9410264801268298,-1.2546558781351933,36.43893337249756,38.61261960028657,34.265247144708546,1.0469304929201542,2.8230521866052323,182710146.66666666,0.6528635775090323,37.3134651184082,,,,,,,
2019-01-18 00:00:00-05:00,37.47526132937304,37.56567899470534,37.11359429869217,37.3134651184082,135004000,0.0,0.0,2019,1,18,4,1,0.006159052627518591,0.006140163183924321,36.60101808820452,37.567989857991535,40.40311881171333,0.029222165382874782,1.0778579711914062,2.0367355346679688,50.731733314666805,-0.8108976554597689,-1.1659042336001084,36.39051265716553,38.43036793782712,34.35065737650394,0.45208469601316636,1.2115859370834343,181697706.66666666,0.7430143312027127,36.47594451904297,,,,,,,
